,AppID,Name,Peak CCU,Required age,Price,DLC count,Supported languages,Metacritic score,Positive,Negative,sum_column,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags,Rank
2017,1716740,Starfield,16006,17,69.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese']",0,83406,41287,124693,2629,1707,Bethesda Game Studios,Bethesda Softworks,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",RPG,"Space,Singleplayer,Open World,RPG,Sci-fi,Exploration,First-Person,Story Rich,Action-Adventure,Character Customization,Third Person,Adventure,Action RPG,Space Sim,Atmospheric,Action,Moddable,Cinematic,Realistic,Great Soundtrack",645
442,361280,Turmoil,299,0,9.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Hungarian', 'Japanese', 'Korean', 'Turkish']",73,9381,765,10146,766,366,Gamious,Gamious,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Strategy","Simulation,Strategy,Management,Indie,Western,Singleplayer,Casual,2D,Economy,Mining,Multiplayer,Early Access",646
1381,1097840,Gears 5,312,17,39.99,3,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",82,13092,6065,19157,1132,743,The Coalition,Xbox Game Studios,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support,Steam Cloud,Includes level editor","Action,Adventure","Action,Adventure,Third-Person Shooter,Multiplayer,Co-op,Singleplayer,Gore,Shooter,Violent,Female Protagonist,Hero Shooter,Open World,Co-op Campaign,Third Person,Sci-fi,Story Rich,Split Screen,Local Co-Op,Mature,Horror",647
1021,437920,Tricky Towers,162,0,14.99,7,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Portuguese', 'Dutch', 'Simplified Chinese', 'Arabic', 'Finnish', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Swedish', 'Turkish', 'Romanian', 'Traditional Chinese']",80,11031,1141,12172,718,183,WeirdBeard,WeirdBeard,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Casual,Indie","Party Game,Puzzle,Physics,Casual,Building,Multiplayer,Funny,Family Friendly,Cartoony,Arcade,Local Multiplayer,Singleplayer,Online Co-Op,PvP,Local Co-Op,4 Player Local,Strategy,Party,Colorful,Stylized",648
798,7670,BioShock™,71,17,0.0,0,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",96,26231,1546,27777,345,109,"2K Boston,2K Australia",2K,"Single-player,Partial Controller Support","Action,RPG","FPS,Atmospheric,Story Rich,Action,Singleplayer,Horror,Steampunk,First-Person,Shooter,Sci-fi,RPG,Classic,Adventure,Dystopian,Underwater,Immersive,Dark,Political,Great Soundtrack,Alternate History",649
1117,1058830,Spin Rhythm XD,35,0,19.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Russian']",0,2385,77,2462,226,255,Super Spin Digital,Super Spin Digital,"Single-player,Full controller support,Steam Cloud,Steam Leaderboards","Action,Casual,Indie,Early Access","Rhythm,Indie,Music,Casual,Action,Multiplayer,Early Access,Controller,Difficult,Singleplayer,Fast-Paced,Colorful,Futuristic,Space,Arcade,Emotional,3D,Audio Production,e-sports,Hero Shooter",650
269,636480,Ravenfield,1364,0,14.99,0,['English'],0,49412,1500,50912,1427,868,SteelRaven7,SteelRaven7,"Single-player,Steam Workshop,Partial Controller Support,Includes level editor","Action,Indie,Early Access","FPS,War,Singleplayer,Shooter,Action,Military,First-Person,Early Access,Sandbox,Funny,Team-Based,Tactical,Strategy,Indie,Physics,Simulation,Moddable,Realistic,Atmospheric,Adventure",651
378,1555400,Gomoku Let's Go,18,0,2.99,0,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Russian', 'German']",0,439,44,483,0,0,Studio Amateur,indienova,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Cloud,Remote Play Together","Casual,Indie,Strategy","Strategy,Tabletop,3D,Realistic,Board Game,Stylized,Turn-Based Strategy,Turn-Based Tactics,3D Platformer,Tactical,Casual,Indie,Atmospheric,Singleplayer,Multiplayer,Local Multiplayer,PvP,Card Game,Puzzle,Historical",652
1957,1340480,The Cosmic Wheel Sisterhood,125,0,17.99,2,"['English', 'French', 'Spanish - Spain', 'Japanese', 'Russian', 'Simplified Chinese', 'German']",0,789,42,831,290,290,Deconstructeam,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Indie","Adventure,Interactive Fiction,Casual,Visual Novel,Magic,Female Protagonist,Pixel Graphics,Choices Matter,2D,Fantasy,Colorful,Indie,Story Rich,Mystery,Narrative,LGBTQ+,Singleplayer,Sexual Content",653
339,1222680,Need for Speed™ Heat,1841,0,69.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Arabic', 'Japanese', 'Polish', 'Russian']",72,41355,8243,49598,3051,698,Ghost Games,Electronic Arts,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Tablet","Action,Adventure,Racing,Sports","Racing,Open World,Driving,Multiplayer,Action,Adventure,Singleplayer,Co-op,Combat Racing,Atmospheric,Third Person,Arcade,Online Co-Op,Sports,First-Person,PvP,Split Screen,Character Customization,Destruction,Controller",654
