,AppID,Name,Peak CCU,Required age,Price,DLC count,Supported languages,Metacritic score,Positive,Negative,sum_column,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags,Rank
2105,1966720,Lethal Company,169110,0,9.99,0,['English'],0,110177,1342,111519,472,328,Zeekerss,Zeekerss,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support","Action,Adventure,Indie,Early Access","Early Access,Online Co-Op,Horror,First-Person,Psychological Horror,Exploration,PvE,Co-op,Procedural Generation,Sci-fi,Atmospheric,Survival Horror,Time Management,Action,Aliens,Dungeon Crawler,Action-Adventure,Adventure,Realistic,Perma Death",1
242,578080,PUBG: BATTLEGROUNDS,275374,0,0.0,0,"['English', 'Korean', 'Simplified Chinese', 'French', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese', 'Russian', 'Turkish', 'Thai', 'Italian', 'Portuguese - Brazil', 'Traditional Chinese', 'Ukrainian']",0,1154655,895978,2050633,21963,7134,"KRAFTON, Inc.","KRAFTON, Inc.","Multi-player,PvP,Online PvP,Stats,Remote Play on Phone,Remote Play on Tablet","Action,Adventure,Free to Play,Massively Multiplayer","Survival,Shooter,Multiplayer,Battle Royale,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth",2
772,230410,Warframe,60270,17,0.0,16,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian']",69,442724,48241,490965,9533,413,Digital Extremes,Digital Extremes,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Remote Play on Phone,Remote Play on Tablet","Action,Free to Play,RPG","Free to Play,Action RPG,RPG,Action,Looter Shooter,Third-Person Shooter,Third Person,Character Customization,Online Co-Op,Massively Multiplayer,Lore-Rich,Co-op,Singleplayer,PvE,Sci-fi,Space,Parkour,Ninja,Shooter,Hack and Slash",3
1262,1086940,Baldur's Gate 3,4340,17,59.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Turkish', 'Portuguese - Brazil']",0,45069,6614,51683,1876,976,Larian Studios,Larian Studios,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Cloud","Adventure,RPG,Strategy,Early Access","Early Access,RPG,Choices Matter,Character Customization,Story Rich,CRPG,Co-op Campaign,Fantasy,Romance,Class-Based,Dark Fantasy,PvE,Narration,Stealth,Combat,Crafting,Isometric,Turn-Based Combat,Tutorial,Team-Based",4
2066,2195250,EA SPORTS FC™ 24,52328,0,69.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Norwegian', 'Portuguese - Portugal', 'Russian', 'Swedish', 'Turkish']",0,15458,11278,26736,6667,5884,EA Canada & EA Romania,Electronic Arts,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Remote Play Together,HDR available","Simulation,Sports","Sports,Football (Soccer),Controller,PvP,Competitive,e-sports,PvE,Multiplayer,3D,First-Person,Simulation,Realistic,Action,Co-op,Local Co-Op,Local Multiplayer,Family Friendly,Online Co-Op,Singleplayer,Early Access",5
22,1172470,Apex Legends™,235067,0,0.0,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']",88,415524,66608,482132,6388,904,Respawn Entertainment,Electronic Arts,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases","Action,Adventure,Free to Play","Free to Play,Multiplayer,Battle Royale,Shooter,First-Person,FPS,PvP,Action,Hero Shooter,Team-Based,Tactical,Survival,Character Customization,Sci-fi,Funny,Loot,Lore-Rich,Cyberpunk,Co-op,Cinematic",6
1400,271590,Grand Theft Auto V,170527,17,0.0,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Japanese', 'Simplified Chinese', 'Spanish - Latin America']",96,1171197,210154,1381351,13650,6274,Rockstar North,Rockstar Games,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure","Open World,Action,Multiplayer,Automobile Sim,Crime,Third Person,First-Person,Shooter,Mature,Adventure,Singleplayer,Third-Person Shooter,Racing,Co-op,Atmospheric,Sandbox,Funny,Great Soundtrack,Comedy,Moddable",7
354,1562700,SANABI,47,0,14.99,0,"['English', 'Korean', 'Simplified Chinese', 'Russian', 'Portuguese - Brazil', 'Japanese', 'Traditional Chinese']",0,792,20,812,138,232,WONDER POTION,NEOWIZ,"Single-player,Partial Controller Support,Steam Cloud","Action,Adventure,Indie,Early Access","Action,Adventure,Action-Adventure,Pixel Graphics,Platformer,2D Platformer,Cyberpunk,2D,Story Rich,Singleplayer,Retro,Indie,Precision Platformer,Side Scroller,Difficult,Early Access,Atmospheric,Linear",8
1527,1313140,Cult of the Lamb,53272,0,24.99,2,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",0,7555,985,8540,322,339,Massive Monster,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie,Strategy","Action Roguelike,Cute,Rogue-lite,Dungeon Crawler,Dark Humor,Building,Singleplayer,Funny,Action,Faith,2D,Adventure,Colony Sim,Character Customization,Strategy,Fantasy,Controller,Colorful,Comedy,Third Person",9
1405,1049590,Eternal Return,8521,0,0.0,4,"['English', 'Japanese', 'Simplified Chinese', 'Korean', 'Traditional Chinese', 'French', 'German', 'Spanish - Spain', 'Portuguese', 'Spanish - Latin America', 'Russian', 'Thai', 'Vietnamese', 'Portuguese - Brazil']",0,34056,8199,42255,1422,151,Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE),Nimble Neuron (Excluding EU,NA,OCE)","Multi-player,PvP,Online PvP,Steam Trading Cards,In-App Purchases","Free to Play,Indie,Strategy,Early Access","Free to Play,Anime,MOBA,Survival,Multiplayer,PvP,Top-Down,Crafting,Strategy,Combat,Tactical,Action,3D,Indie,Character Customization,Experimental,Early Access,Point & Click,Sexual Content,MMORPG",10
2191,2073850,THE FINALS,0,0,0.0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese']",0,0,0,0,0,0,Embark Studios,Embark Studios,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Partial Controller Support","Action,Free to Play","Action,Free to Play",11
1764,1985820,Call of Duty®: Vanguard,0,18,29.99,10,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese']",0,96,55,151,0,0,"Sledgehammer Games,Treyarch,High Moon Studios,Raven Software,Beenox,Demonware",Activision,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,In-App Purchases",Action,"Action,Shooter,FPS,First-Person,Military,Zombies,Tactical,PvP,Gun Customization,PvE,Co-op,Gore,Violent,Multiplayer,Online Co-Op,Singleplayer",12
1745,1973530,Limbus Company,0,0,0.0,0,"['English', 'Japanese', 'Korean']",0,0,0,0,0,0,ProjectMoon,ProjectMoon,"Single-player,In-App Purchases","Action,RPG,Strategy","Action,RPG,Strategy",13
2162,2252570,Football Manager 2024,67697,0,59.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Dutch', 'Greek', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Swedish', 'Turkish']",0,4659,671,5330,5105,5942,Sports Interactive,SEGA,"Single-player,Multi-player,Steam Achievements,Steam Cloud","Simulation,Sports,Strategy","Simulation,Sports,Strategy,Football (Soccer),Management,e-sports,Real Time Tactics,3D,2D,Economy,Text-Based,Multiplayer,Singleplayer",14
1129,730,Counter-Strike: Global Offensive,825215,0,0.0,1,"['Czech', 'Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Bulgarian', 'Ukrainian', 'Greek', 'Spanish - Latin America', 'Vietnamese']",83,5764420,766677,6531097,30484,6357,"Valve,Hidden Path Entertainment",Valve,"Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Free to Play","FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,e-sports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable",15
140,1147560,Skul: The Hero Slayer,1918,0,19.99,1,"['English', 'Japanese', 'Korean', 'Simplified Chinese', 'German', 'French', 'Spanish - Spain', 'Russian', 'Traditional Chinese', 'Portuguese - Brazil', 'Polish']",80,32454,2335,34789,1705,809,SouthPAW Games,NEOWIZ,"Single-player,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","Indie,Action,Action Roguelike,Pixel Graphics,Rogue-lite,2D,Rogue-like,Singleplayer,Platformer,Adventure,Difficult,Hack and Slash,Villain Protagonist,Side Scroller,Metroidvania,Action-Adventure,Fantasy,Story Rich,Cute,Multiplayer",16
1206,985810,GrandChase,0,0,0.0,0,"['English', 'Portuguese - Brazil', 'Korean']",0,0,0,0,0,0,KOG,KOG,"Multi-player,PvP,Co-op,In-App Purchases","Action,Casual,Free to Play","Action,Casual,Free to Play",17
1479,227300,Euro Truck Simulator 2,29161,0,19.99,79,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Portuguese', 'Polish', 'Danish', 'Dutch', 'Finnish', 'Norwegian', 'Swedish', 'Hungarian', 'Czech', 'Romanian', 'Turkish', 'Portuguese - Brazil', 'Bulgarian', 'Greek', 'Ukrainian']",79,548047,15109,563156,6446,1748,SCS Software,SCS Software,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Indie,Simulation","Transportation,Driving,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Third Person,Family Friendly,Adventure,Casual,Indie",18
1407,323190,Frostpunk,1820,17,29.99,7,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Turkish', 'Italian', 'Japanese', 'Korean']",84,73661,6864,80525,1131,506,11 bit studios,11 bit studios,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Simulation,Strategy","City Builder,Survival,Strategy,Resource Management,Post-apocalyptic,Steampunk,Colony Sim,Building,Base-Building,Simulation,Singleplayer,Management,Choices Matter,Atmospheric,Economy,Dark,RTS,Difficult,Great Soundtrack,Real-Time with Pause",19
628,1449850,Yu-Gi-Oh! Master Duel,0,0,0.0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Latin America', 'Portuguese - Brazil', 'Japanese', 'Korean']",0,0,0,0,0,0,Konami Digital Entertainment,Konami Digital Entertainment,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases","Free to Play,Simulation,Strategy","Free to Play,Simulation,Strategy",20
1597,1974050,Torchlight: Infinite,0,0,0.0,0,"['English', 'Simplified Chinese', 'French', 'German', 'Russian', 'Japanese', 'Thai', 'Traditional Chinese', 'Portuguese - Portugal', 'Spanish - Latin America', 'Vietnamese', 'Korean']",0,0,0,0,0,0,XD,XD,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,In-App Purchases","Action,Adventure,Free to Play,RPG,Early Access","Action,Adventure,Free to Play,RPG,Early Access",21
212,1144200,Ready or Not,4839,0,39.99,1,"['English', 'French', 'German', 'Czech', 'Korean', 'Simplified Chinese']",0,55714,4487,60201,696,433,VOID Interactive,VOID Interactive,"Single-player,Multi-player,Co-op,Online Co-op,Steam Cloud","Action,Adventure,Indie,Early Access","Tactical,Realistic,FPS,Multiplayer,Shooter,First-Person,Co-op,Singleplayer,Action,Violent,Crime,Gun Customization,Combat,Modern,Gore,Atmospheric,America,Co-op Campaign,Early Access,Horror",22
1484,413150,Stardew Valley,39710,0,14.99,1,"['English', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'French', 'Italian', 'Hungarian', 'Korean', 'Turkish']",89,475785,8983,484768,3753,1458,ConcernedApe,ConcernedApe,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Indie,RPG,Simulation","Farming Sim,Life Sim,Pixel Graphics,RPG,Multiplayer,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open World,2D,Great Soundtrack,Cute,Dating Sim,Fishing",23
484,648800,Raft,39404,0,19.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish']",0,182819,13311,196130,2875,774,Redbeet Interactive,Axolot Games,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Cloud","Adventure,Indie,Simulation","Survival,Open World Survival Craft,Multiplayer,Co-op,Crafting,Open World,Building,Base-Building,Online Co-Op,Adventure,Sandbox,First-Person,Early Access,Singleplayer,Underwater,Simulation,Action,Indie,Strategy,Massively Multiplayer",24
1733,1801110,違う冬のぼくら／BOKURA,201,0,9.89,0,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",0,96,37,133,279,279,ところにょり,kodansha games,"Multi-player,Co-op,Online Co-op,LAN Co-op,Partial Controller Support","Action,Adventure,Early Access","Action,Adventure,Action-Adventure,2D,Pixel Graphics,Story Rich,Online Co-Op,Multiplayer,Local Co-Op,Co-op,Early Access,Local Multiplayer,Puzzle-Platformer,Indie,Casual,Cute,Drama,Emotional,Atmospheric,Psychological Horror",25
2142,2338770,NBA 2K24,8069,0,26.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",0,2018,10905,12923,694,694,Visual Concepts,2K,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,In-App Purchases,Steam Cloud,Remote Play Together","Simulation,Sports","Sports,Simulation,Basketball,e-sports,3D,Immersive Sim,Realistic,Management,PvP,Character Customization,Controller,Team-Based,Trading,Co-op,Local Co-Op,Local Multiplayer,Multiplayer,Online Co-Op,Singleplayer,Gambling",26
810,1245620,ELDEN RING,46431,16,59.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese']",94,460812,51238,512050,5293,4467,FromSoftware Inc.,"FromSoftware Inc.,Bandai Namco Entertainment","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards","Action,RPG","Souls-like,Relaxing,Dark Fantasy,RPG,Difficult,Open World,Action RPG,Third Person,Fantasy,Multiplayer,Online Co-Op,Singleplayer,Action,Co-op,PvP,Violent,Atmospheric,3D,Great Soundtrack,Walking Simulator",27
220,1091500,Cyberpunk 2077,13739,17,59.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Turkish']",86,391643,129925,521568,3851,2420,CD PROJEKT RED,CD PROJEKT RED,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG,"Cyberpunk,Open World,RPG,Nudity,Singleplayer,Sci-fi,Futuristic,FPS,First-Person,Story Rich,Atmospheric,Mature,Exploration,Action,Violent,Great Soundtrack,Action RPG,Adventure,Character Customization,Immersive Sim",28
2089,2344520,Diablo® IV,11839,17,69.99,5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Turkish']",0,8686,6321,15007,1448,1846,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases","Action,RPG","Action RPG,Hack and Slash,Online Co-Op,Isometric,Co-op,Singleplayer,RPG,Action,Third Person,Fantasy,PvE,Multiplayer,Story Rich,Dungeon Crawler,Point & Click,Dark Fantasy,Loot,Exploration,Gore,Violent",29
362,1384160,GUILTY GEAR -STRIVE-,1865,13,59.99,11,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean']",85,26351,2391,28742,6340,2433,Arc System Works,Arc System Works,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together",Action,"2D Fighter,Fighting,Anime,2.5D,Great Soundtrack,PvP,Arcade,Lore-Rich,Action,2D,3D,Story Rich,Fantasy,Multiplayer,Drama,Casual,Cinematic,Combat,Local Multiplayer,Singleplayer",30
707,582010,Monster Hunter: World,24736,0,29.99,200,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Polish', 'Traditional Chinese', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese']",88,306872,51885,358757,10717,3278,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Tablet",Action,"Co-op,Multiplayer,Action,Open World,RPG,Third Person,Character Customization,Adventure,Fantasy,Singleplayer,Difficult,Action RPG,Exploration,Great Soundtrack,Replay Value,Atmospheric,Hack and Slash,JRPG,Souls-like,MMORPG",31
1531,1943950,Escape the Backrooms,871,0,8.99,0,['English'],0,625,223,848,0,0,Fancy Games,Fancy Games,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Cloud","Indie,Early Access","Horror,Multiplayer,Adventure,Action,First-Person,Psychological Horror,Exploration,Survival Horror,Online Co-Op,Indie,Early Access,Co-op,3D,Casual,Action-Adventure,Singleplayer,Dungeon Crawler,Procedural Generation,Stealth,Escape Room",32
985,381210,Dead by Daylight,46073,17,7.99,34,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Thai', 'Traditional Chinese', 'Japanese', 'Korean', 'Polish', 'Spanish - Latin America', 'Turkish']",0,494648,112924,607572,8942,1648,Behaviour Interactive Inc.,Behaviour Interactive Inc.,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Action,"Horror,Survival Horror,Multiplayer,Online Co-Op,Survival,Co-op,Gore,Blood,Team-Based,Stealth,Third Person,Violent,First-Person,Psychological Horror,Action,Atmospheric,Strategy,Comedy,Mature,Difficult",33
1180,108600,Project Zomboid,22793,0,19.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Hungarian', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Turkish', 'Japanese', 'Simplified Chinese', 'Portuguese - Brazil']",0,100998,8330,109328,2382,645,The Indie Stone,The Indie Stone,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Trading Cards,Partial Controller Support,Remote Play Together","Indie,RPG,Simulation,Early Access","Survival,Zombies,Open World,Open World Survival Craft,Multiplayer,Sandbox,Post-apocalyptic,Co-op,Crafting,Indie,Simulation,Building,RPG,Survival Horror,Realistic,Isometric,Singleplayer,Early Access,2D,Adventure",34
446,236390,War Thunder,48352,0,0.0,32,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Czech', 'Turkish', 'Portuguese', 'Korean', 'Portuguese - Brazil', 'Hungarian', 'Ukrainian', 'Traditional Chinese', 'Romanian']",81,246926,67506,314432,4707,402,Gaijin Entertainment,Gaijin Distribution KFT,"Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Remote Play on Phone,Remote Play on Tablet","Action,Free to Play,Massively Multiplayer,Simulation","Free to Play,Vehicular Combat,Combat,VR,World War II,Naval Combat,Third-Person Shooter,Modern,War,Flight,Third Person,Tanks,Military,Cold War,Simulation,Shooter,Realistic,Massively Multiplayer,Historical,Action",35
2080,1989270,Slay the Princess,246,0,17.99,1,['English'],91,4831,102,4933,331,468,Black Tabby Games,Black Tabby Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Indie,RPG,Simulation","Choices Matter,Psychological Horror,Visual Novel,Dating Sim,Horror,Choose Your Own Adventure,Psychological,Lovecraftian,Story Rich,Interactive Fiction,Multiple Endings,Dark Comedy,Dark Humor,Supernatural,Philosophical,Adventure,Surreal,CRPG,Funny,RPG",36
1622,1938090,Call of Duty®: Modern Warfare® II,233454,18,69.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Russian', 'Traditional Chinese', 'Japanese', 'Spanish - Latin America', 'Arabic', 'Simplified Chinese', 'Portuguese - Brazil']",0,16018,12744,28762,787,727,"Infinity Ward,Raven Software,Beenox,Treyarch,High Moon Studios,Sledgehammer Games,Activision Shanghai,Demonware,Toys for Bob",Activision,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Captions available,In-App Purchases",Action,"FPS,Action,Multiplayer,Shooter,Military,First-Person,Singleplayer,Modern,War,Tactical,Story Rich,Violent,Realistic,Co-op,Atmospheric,Mature,Online Co-Op,Gore,Third-Person Shooter,Third Person",37
1179,692890,Roboquest,256,0,19.99,1,['English'],0,3591,213,3804,758,972,RyseUp Studios,RyseUp Studios,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support,Steam Cloud","Action,Indie,Early Access","Early Access,FPS,Action Roguelike,Rogue-lite,Co-op,Online Co-Op,Shooter,Fast-Paced,Post-apocalyptic,Looter Shooter,Bullet Hell,Action,Perma Death,Sci-fi,Stylized,Indie,First-Person,Colorful,Singleplayer,Multiplayer",38
864,502500,ACE COMBAT™ 7: SKIES UNKNOWN,1051,0,39.99,21,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Traditional Chinese', 'Spanish - Latin America', 'Simplified Chinese']",0,23399,3697,27096,1031,612,Bandai Namco Studios Inc.,Bandai Namco Entertainment,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Simulation","Flight,Jet,Military,War,Shooter,Arcade,Cinematic,PvP,Simulation,First-Person,3D,Third Person,Story Rich,Action,Multiplayer,Great Soundtrack,Silent Protagonist,Sci-fi,Realistic,Singleplayer",39
192,1085660,Destiny 2,72573,0,0.0,10,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",83,403109,77006,480115,9390,431,Bungie,Bungie,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,In-App Purchases,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,Free to Play","Free to Play,Open World,Looter Shooter,FPS,PvP,MMORPG,PvE,Co-op,Shooter,First-Person,Massively Multiplayer,Sci-fi,Loot,Action,Lore-Rich,Space,Adventure,Competitive,Multiplayer,Atmospheric",40
226,359550,Tom Clancy's Rainbow Six® Siege,42263,17,19.99,11,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Simplified Chinese', 'Turkish', 'Thai']",0,929372,138530,1067902,13837,3100,Ubisoft Montreal,Ubisoft,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet",Action,"FPS,Hero Shooter,Multiplayer,Tactical,Shooter,Team-Based,Action,First-Person,Competitive,Co-op,Strategy,Realistic,Online Co-Op,Destruction,Physics,Atmospheric,Singleplayer,Massively Multiplayer,Casual,Simulation",41
756,440,Team Fortress 2,107702,0,0.0,1,"['English', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Czech', 'Hungarian', 'Portuguese - Brazil', 'Turkish', 'Greek', 'Bulgarian', 'Romanian', 'Thai', 'Ukrainian']",92,823693,56683,880376,9916,370,Valve,Valve,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet","Action,Free to Play","Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting",42
